aika,arvo
2018-04-10 04:07:48,93.1
2018-04-10 04:08:49,91.7
2018-04-10 04:09:49,91.1
2018-04-10 04:10:51,88.8
2018-04-10 04:11:51,89
2018-04-10 04:12:51,91.6
2018-04-10 04:13:52,88.8
2018-04-10 04:14:53,87.5
2018-04-10 04:15:53,89.5
2018-04-10 04:16:54,88.2
2018-04-10 04:17:54,91.5
2018-04-10 04:18:54,88.5
2018-04-10 04:19:55,89.9
2018-04-10 04:20:55,87.8
2018-04-10 04:21:55,85.8
2018-04-10 04:22:56,87.7
2018-04-10 04:23:56,87.8
2018-04-10 04:24:56,88.9
2018-04-10 04:25:57,88.3
2018-04-10 04:26:57,87.1
2018-04-10 04:27:57,89.6
2018-04-10 04:28:57,88.5
2018-04-10 04:29:58,85.8
2018-04-10 04:30:58,87.6
2018-04-10 04:31:58,88.5
2018-04-10 04:32:59,86.9
2018-04-10 04:33:59,88.2
2018-04-10 04:34:59,86.2
2018-04-10 04:35:59,84.1
2018-04-10 04:37:00,86.6
2018-04-10 04:38:01,86.1
2018-04-10 04:39:01,85.2
2018-04-10 04:40:01,86.1
2018-04-10 04:41:02,85.9
2018-04-10 04:42:03,85.2
2018-04-10 04:43:04,86.6
2018-04-10 04:44:04,83.7
2018-04-10 04:45:05,84.8
2018-04-10 04:46:05,87.5
2018-04-10 04:47:05,84.5
2018-04-10 04:48:06,85.6
2018-04-10 04:49:06,84.1
2018-04-10 04:50:06,84
2018-04-10 04:51:07,105.8
2018-04-10 04:52:08,104.3
2018-04-10 04:53:08,103.8
2018-04-10 04:54:08,102.5
2018-04-10 04:55:09,104
2018-04-10 04:56:09,102.4
2018-04-10 04:57:09,102.1
2018-04-10 04:58:10,103.3
2018-04-10 04:59:11,103.1
2018-04-10 05:00:11,103.2
2018-04-10 05:01:12,103.3
2018-04-10 05:02:12,103.3
2018-04-10 05:03:12,102.2
2018-04-10 05:04:13,98.6
2018-04-10 05:05:13,103.7
2018-04-10 05:06:13,98.9
2018-04-10 05:07:14,101.3
2018-04-10 05:08:14,102.7
2018-04-10 05:09:14,101.2
2018-04-10 05:10:15,103
2018-04-10 05:11:15,100.4
2018-04-10 05:12:15,101.8
2018-04-10 05:13:15,100.5
2018-04-10 05:14:16,99.9
2018-04-10 05:15:16,102.1
2018-04-10 05:16:17,100.4
2018-04-10 05:17:17,100
2018-04-10 05:18:18,100.5
2018-04-10 05:19:18,98.9
2018-04-10 05:20:19,99.7
2018-04-10 05:21:19,98
2018-04-10 05:22:19,98.8
2018-04-10 05:23:20,98.4
2018-04-10 05:24:20,99
2018-04-10 05:25:21,98
2018-04-10 05:26:21,96.4
2018-04-10 05:27:21,98.7
2018-04-10 05:28:21,98.8
2018-04-10 05:29:22,100.1
2018-04-10 05:30:22,100.6
2018-04-10 05:31:23,96.8
2018-04-10 05:32:23,96.3
2018-04-10 05:33:23,97.3
2018-04-10 05:34:23,99.5
2018-04-10 05:35:24,96.9
2018-04-10 05:36:24,96.1
2018-04-10 05:37:24,97.1
2018-04-10 05:38:25,96.2
2018-04-10 05:39:26,94.2
2018-04-10 05:40:26,94.8
2018-04-10 05:41:26,96.5
2018-04-10 05:42:27,97
2018-04-10 05:43:27,95.6
2018-04-10 05:44:28,96.9
2018-04-10 05:45:28,94.5
2018-04-10 05:46:28,96.1
2018-04-10 05:47:29,96.2
2018-04-10 05:48:29,94.6
2018-04-10 05:49:30,94.7
2018-04-10 05:50:30,93.9
2018-04-10 05:51:31,94
2018-04-10 05:52:32,93.1
2018-04-10 05:53:32,95.1
2018-04-10 05:54:33,93.5
2018-04-10 05:55:33,96.3
2018-04-10 05:56:33,94.1
2018-04-10 05:57:34,93.2
2018-04-10 05:58:34,91.2
2018-04-10 05:59:34,92.9
2018-04-10 06:00:35,94.4
2018-04-10 06:01:35,91.4
2018-04-10 06:02:36,93.5
2018-04-10 06:03:36,91.2
2018-04-10 06:04:36,92.6
2018-04-10 06:05:36,91.1
2018-04-10 06:06:37,91.2
2018-04-10 06:07:37,92.7
2018-04-10 06:08:37,94.7
2018-04-10 06:09:38,92.3
2018-04-10 06:10:39,92.2
2018-04-10 06:11:39,91.8
2018-04-10 06:12:39,91.9
2018-04-10 06:13:39,92.1
2018-04-10 06:14:40,92.6
2018-04-10 06:15:41,88.6
2018-04-10 06:16:41,91.1
2018-04-10 06:17:41,89.7
2018-04-10 06:18:41,90.9
2018-04-10 06:19:42,91.3
2018-04-10 06:20:42,90.3
2018-04-10 06:21:42,93
2018-04-10 06:22:43,91.4
2018-04-10 06:23:43,90.2
2018-04-10 06:24:43,91
2018-04-10 06:25:43,90.7
2018-04-10 06:26:44,89.2
2018-04-10 06:27:44,88.7
2018-04-10 06:28:44,90.1
2018-04-10 06:29:45,89
2018-04-10 06:30:46,88.2
2018-04-10 06:31:47,88
2018-04-10 06:32:47,87.7
2018-04-10 06:33:47,87.8
2018-04-10 06:34:48,87.7
2018-04-10 06:35:48,89.4
2018-04-10 06:36:49,90.8
2018-04-10 06:37:49,89.3
2018-04-10 06:38:51,88.6
2018-04-10 06:39:51,88.1
2018-04-10 06:40:51,86.3
2018-04-10 06:41:52,88.1
2018-04-10 06:42:57,86.6
2018-04-10 06:44:11,86.2
2018-04-10 06:45:17,86.1
2018-04-10 06:46:17,88.1
2018-04-10 06:47:18,86.9
2018-04-10 06:48:18,85
2018-04-10 06:49:19,85.8
2018-04-10 06:50:19,86.4
2018-04-10 06:51:19,86.7
2018-04-10 06:52:20,83.8
2018-04-10 06:53:20,86.9
2018-04-10 06:54:20,86.9
2018-04-10 06:55:20,84.8
2018-04-10 06:56:21,85.9
2018-04-10 06:57:21,85.4
2018-04-10 06:58:22,82.6
2018-04-10 06:59:22,84.5
2018-04-10 07:00:22,106.6
2018-04-10 07:01:23,103.7
2018-04-10 07:02:23,103.9
2018-04-10 07:03:24,103.6
2018-04-10 07:04:24,102.2
2018-04-10 07:05:24,103.1
2018-04-10 07:06:25,102.5
2018-04-10 07:07:25,102.2
2018-04-10 07:08:25,103.1
2018-04-10 07:09:25,101.8
2018-04-10 07:10:26,103.3
2018-04-10 07:11:26,103
2018-04-10 07:12:26,101.8
2018-04-10 07:13:27,102.3
2018-04-10 07:14:27,101.5
2018-04-10 07:15:27,102.4
2018-04-10 07:16:28,100.7
2018-04-10 07:17:29,101.8
2018-04-10 07:18:29,101.7
2018-04-10 07:19:29,101.2
2018-04-10 07:20:30,102.9
2018-04-10 07:21:30,101
2018-04-10 07:22:30,101.2
2018-04-10 07:23:31,100.3
2018-04-10 07:24:31,99.6
2018-04-10 07:25:31,101.2
2018-04-10 07:26:31,101.3
2018-04-10 07:27:32,100.5
2018-04-10 07:28:32,100.1
2018-04-10 07:29:33,97.4
2018-04-10 07:30:33,98.5
